# code;name;emoji
AFGHANISTAN;Afeganistão;🇦🇫
SAINT_VINCENT_AND_THE_GRENADINES;São Vicente e Granadinas;🇻🇨
SAMOA;Samoa;🇼🇸
SAN_MARINO;San Marino;🇸🇲
SAO_TOME_AND_PRINCIPE;São Tomé e Príncipe;🇸🇹
SAUDI_ARABIA;Arábia Saudita;🇸🇦
SENEGAL;Senegal;🇸🇳
SERBIA;Sérvia;🇷🇸
SEYCHELLES;Seicheles;🇸🇨
SIERRA_LEONE;Serra Leoa;🇸🇱
SINGAPORE;Singapura;🇸🇬
SLOVAKIA;Eslováquia;🇸🇰
SLOVENIA;Eslovênia;🇸🇮
SOLOMON_ISLANDS;Ilhas Salomão;🇸🇧
SOMALIA;Somália;🇸🇴
SOUTH_AFRICA;África do Sul;🇿🇦
SOUTH_KOREA;Coreia do Sul;🇰🇷
SOUTH_SUDAN;Sudão do Sul;🇸🇸
SPAIN;Espanha;🇪🇸
SRI_LANKA;Sri Lanka;🇱🇰
SUDAN;Sudão;🇸🇩
SURINAME;Suriname;🇸🇷
SWEDEN;Suécia;🇸🇪
SWITZERLAND;Suíça;🇨🇭
SYRIA;Síria;🇸🇾
TAJIKISTAN;Tajiquistão;🇹🇯
TANZANIA;Tanzânia;🇹🇿
THAILAND;Tailândia;🇹🇭
TIMOR_LESTE;Timor-Leste;🇹🇱
TOGO;Togo;🇹🇬
TONGA;Tonga;🇹🇴
TRINIDAD_AND_TOBAGO;Trinidad e Tobago;🇹🇹
TUNISIA;Tunísia;🇹🇳
TURKEY;Turquia;🇹🇷
TURKMENISTAN;Turcomenistão;🇹🇲
TUVALU;Tuvalu;🇹🇻
UGANDA;Uganda;🇺🇬
UKRAINE;Ucrânia;🇺🇦
UNITED_ARAB_EMIRATES;Emirados Árabes Unidos;🇦🇪
UNITED_KINGDOM;Reino Unido;🇬🇧
UNITED_STATES;Estados Unidos;🇺🇸
URUGUAY;Uruguai;🇺🇾
UZBEKISTAN;Uzbequistão;🇺🇿
VANUATU;Vanuatu;🇻🇺
VATICAN_CITY;Vaticano;🇻🇦
VENEZUELA;Venezuela;🇻🇪
VIETNAM;Vietnã;🇻🇳
YEMEN;Iêmen;🇾🇪
ZAMBIA;Zâmbia;🇿🇲
ZIMBABWE;Zimbábue;🇿🇼
BRAZIL_ACRE;Acre;BR-AC
BRAZIL_ALAGOAS;Alagoas;BR-AL
BRAZIL_AMAPA;Amapá;BR-AP
BRAZIL_AMAZONAS;Amazonas;BR-AM
BRAZIL_BAHIA;Bahia;BR-BA
BRAZIL_CEARA;Ceará;BR-CE
BRAZIL_DISTRITO_FEDERAL;Distrito Federal;BR-DF
BRAZIL_ESPIRITO_SANTO;Espírito Santo;BR-ES
BRAZIL_GOIAS;Goiás;BR-GO
BRAZIL_MARANHAO;Maranhão;BR-MA
BRAZIL_MATO_GROSSO;Mato Grosso;BR-MT
BRAZIL_MATO_GROSSO_DO_SUL;Mato Grosso do Sul;BR-MS
BRAZIL_MINAS_GERAIS;Minas Gerais;BR-MG
BRAZIL_PARA;Pará;BR-PA
BRAZIL_PARAIBA;Paraíba;BR-PB
BRAZIL_PARANA;Paraná;BR-PR
BRAZIL_PERNAMBUCO;Pernambuco;BR-PE
BRAZIL_PIAUI;Piauí;BR-PI
BRAZIL_RIO_DE_JANEIRO;Rio de Janeiro;BR-RJ
BRAZIL_RIO_GRANDE_DO_NORTE;Rio Grande do Norte;BR-RN
BRAZIL_RIO_GRANDE_DO_SUL;Rio Grande do Sul;BR-RS
BRAZIL_RONDONIA;Rondônia;BR-RO
BRAZIL_RORAIMA;Roraima;BR-RR
BRAZIL_SANTA_CATARINA;Santa Catarina;BR-SC
BRAZIL_SAO_PAULO;São Paulo;BR-SP
BRAZIL_SERGIPE;Sergipe;BR-SE
BRAZIL_TOCANTINS;Tocantins;BR-TO
